,comment,username
69,"Richard is continuously a douche throughout the film, between this ignorance towars suicide, shaming olive over ice cream, and prioritising work over family. But I love how he changes toward the end and uses his &quot;winner&quot; mindset for good, persuing the goal of getting olive to the pageant, finally putting his family first and fulfilling his father&#39;s wishes.",MrPenfold4
70,"I was wondering all along : &lt; But, who is that actor ? I saw him in other movies, I&#39;m sure... &gt; and then I found the answer. ;)<br><br><br><br><br>The answer was : No ! No, please, no ! God ! NOOOOOO ! ;)",Pistol'HERO
71,Tragic comedy,Hamdan
72,"<a href=""https://www.youtube.com/watch?v=-QNxYSDdpig&amp;t=1m32s"">1:32</a> excellent detail. It’s both a rude interruption and signifies to the savvy viewer the heaviness of Grandpa’s intranasal heroin use.",John E. Nobody
73,"“That would be me, Rich”<br>Eat your heart out",Josh Kresnik
74,The dad annoyed me the entire movie,Jade Vazquez
75,"i cant think of a more poignant and truly brilliant person to play the part of Frank, which is, of course, Steve Carell. Outstanding acting!!",B501M
76,"Theses things should definitely be talked about more often, esp with children. i&#39;m glad it addresses it in the film, because, in the real world, scenarios like this are few and far between...<br>yeah, i hate the dad.",B501M
77,"“Him? It was a Boy? You fell in love with a boy?”<br>“Yes, I did very much so.”<br>“That’s silly.😃”<br>“You’re right. It was silly. It was very very silly.”<br>I loved how innocently she responded and how he was honest but still clearly living through the pain when talking about his story. That’s how I think I am💔❤️",Jules G
78,Anyone else here who has attempted suicide watch this and get irrationally angry when he said he made foolish choices and then gave up on himself.,dom alexander
79,"What part of the movie is this in? What hour, minute?",Julie RoseModelProductions
80,I’m frank,rocko
81,&quot;There&#39;s another word for it..&quot; lmfaaooo,Clown
82,"I don&#39;t think Greg Kinnear is the bad guy in this movie - and certainly not in this scene.  I know he&#39;s positioned that way throughout the movie, but if you ever watch it again, watch it and tell yourself he&#39;s actually the good guy.",Bret Harley
83,"Great scene, I&#39;ve never watched the movie",f
84,Larry Sugarman is Roger Smith let&#39;s be real..,TribsBon
85,I love this movie.,Thrillseeker8922
86,"I love how this theme of winner vs loser always comes up and Richard is proved wrong. He believes in his 12 steps program, but he barely has any people attending his program and they’re bankrupt. Frank was the #1 proust scholar in the nation, and his status in his career didn’t make his life any happier or easier. Dwayne dedicated himself to one day become a pilot, showed extreme discipline by not speaking for hundreds and hundreds of days, then gets told that he actually can’t because of his color blindness. And last but not least Olive, who wants to win little miss sunshine more than anything doesn’t win.",Maddie Ashton
87,I&#39;ve never seen the movie or how I can across the clip but  know exactly how he feels,Simon Pietsch
88,Wtf,Serious Silliness
89,I completely forgot Steve Carell is in this movie. Lmao,Goblin From Oblivion
90,&quot;theres another word for it&quot; lol,City_Smog8
91,Decided to check out early is such an underrated movie line,Khizer Sultan
92,"I love this movie, alot of great actors",Andrea Garcia
93,This movie is one of the best.,Alfred Christanto
94,Great movie.,Michael Youngstrom
95,The emo kid looks like the one in Horton hears a who,Natalia Robinson
96,"This movie was so good...the script, the acting, the directing and the editing.  There was so much going on with this family and it was horrifying, funny, sad, moving and joyful all rolled into one.",RuleofFive
97,Olive was the only one who was related to just about everyone in the scene,Joe Whitehead
98,I wanna see this movie so bad... it looks awesome,Jake Goodman
99,"Its really true, never ever give up on yourself. everything bad will end and you&#39;ll be OK again. <br>trust in God and yourself.<br>Whish you all to be smiling and happy :)",A mortal being!
