,comment,username
61,"What added to the weight that thor&#39;s been carrying for 5 years after hearing banner is when banner said to &quot;fix&quot; things about thanos, thor blamed himself even more because he thinks he&#39;s the only one who messed up real bad and his team are doing their best to &quot;fix&quot; it.",The Pope
62,"<a href=""https://www.youtube.com/watch?v=Pzp_iSUExes&amp;t=2m21s"">2:21</a>",Chris Su
63,Re-watching this thing first I thought the fat Thor was funny but now I just feel bad for him because it’s a symbol of the deep depression Thor is supposed to be a hero he’s supposed to protect his people but he failed at that how is he supposed to cope with the fact that he failed the one thing that he was supposed to do above all else,Sir Arthur of Winterfell
64,This scene is so depressing I feel like the comedy was a mandatory &quot;thor hes back that kid on the TV just called me a dickhead again&quot;,film theory
65,My spirit animal,H Khan
66,Welcome to Earth  Demi gods,Devon Campbell
67,"I just love how even though Thor is depressed, he still threatens an online bully &amp; sticks up for his friends. Even when he&#39;s feeling down, don&#39;t get him angry.",Thomas Muller
68,epic games should be lucky.,XLandmarkSix69X
69,Thor was so happy to see banner and rocket even tho they didn&#39;t visit him long time,Lena Kataeva
70,Miek on the sofa eating the pizza was adorable,Arkyshi
71,"Marvel needs to bring emotional scenes like this back. I like the comedic moments in the recent movies, but they tend to ruin a serious moment with a stupid joke every now and then.. I hope GOTG 3 will balance out the humor and emotional scenes evenly. I mean, it&#39;s James Gunn, he definitely won&#39;t mess this up!",IcyianCanehdian
72,"<a href=""https://www.youtube.com/watch?v=Pzp_iSUExes&amp;t=1m33s"">1:33</a>",Chris Su
73,"To fair, it was Rocket that snapped him out of his depression and to help his friends again. Rocket says there’s beers in the ship, he’s on board. When Thor had a mental breakdown when he went to the past to see his mother, rocket slapped him the senses back to him.",Alltimefox
74,"The moment the god of thunder came back to sense <a href=""https://www.youtube.com/watch?v=Pzp_iSUExes&amp;t=2m00s"">2:00</a>",𝚮𝖆𝖑𝖎𝖑𝖕𝖆𝖘𝖆𝖗
75,This is the moment the movie becomes an horror: people still playing Fortnite in 2023. And sadly is gonna happen,Giuseppe
76,"Can we take a moment to appreciate Bruce in this scene? He clearly has been through a transformation of his own since Infinity War. He&#39;s not only so much more confident in helping others with their emotions, he&#39;s much more knowledgable on how to do it right.",KoOkiEzRoCkz
77,seeing that tear from rocket always breaks me,Judas Link
78,"“There’s beer in the Ship” <br><br>Says Rocket, acting like Thor doesn’t have more ‘Supply’ out back. Thor had already made up his mind, He was going to the Avengers Compound one way or another. But now he had a reason to act immediately.",TheRealMr.Incredible
79,&quot;I&#39;m fine&quot; 😥,wizzzer1337
80,this is a amazing scene. ALL the actors crushed this scene 100 percent,Sharky Fish
81,I love how Thor is like let me know if he bothers you again. Like this happened so many times.,Christian Parrish
82,"<a href=""https://www.youtube.com/watch?v=Pzp_iSUExes&amp;t=1m57s"">1:57</a>",Tahir Ali
83,Petition for public transport for huge people...<br>Please...,yetAnotherGuyOnTheInternet
84,I said that the fat Thor is NO Longer Thor.,Sebastian Espinosa
85,Now that…that  is not a man,Alfie’s vlogs and edits plus gaming channel
86,At least Rocket has been on Earth long enough to learn about ice cream.,WildBill94
87,The weird thing I just realized is that this is the most accurate representation of Thor minus the deppresion,Shoggy
88,"Noobmaster is the most generic gamer name I&#39;ve ever heard of lol.<br>I bet they held a meeting with non gamers and asked, hey what&#39;s the best gamer name you could think of?",Smiley
89,This is the most accurate Thor you can have when it comes to mythology,Luuk Stofberg
90,Kind of a small reminder here that Thor and Hulks relationship was similar to Ironmans and captain americas,Ace Martiney
91,"&quot;Awh yes that right, Go cry to your father you little weasel..&quot; -Thor<br><br>&quot;Thank you Thor&quot; -Korg<br><br>&quot;You let me know if he bothers you again, Okay?&quot; -Thor<br><br>&quot;Thank you very much, I will&quot; -Korg<br><br>I absolutely love how Korg makes Thor still feel wanted and needed.. Also when Hulk says &quot;Thanos..&quot; Korg instantly stands up to back up his friend.. Even after knowing who the Hulk is and how he was once a Champion that would have killed him if it weren&#39;t for Thor.. That&#39;s a true Friend!",xAoHx
92,"This shows how much a person can slip into depression because of countless encounter with lost of love ones and failures. Thor literally lost his everything.  In Thor 2, he lost his mother when he could actually save her on time. In infinity war, He literally watch his brother get strangle to death by thanos. In Ragnarok, he also watch his father dies Infront of him and he couldn&#39;t even save his home because he was forced to destroy it to destroy his sister. He lost all his friend(except sif) too when Hela return and wipe out the Asgardian armies. And as for Hela, yep though she was evil and we can&#39;t seems to see why would Thor even lost her but still she was their sister and part of the Odin family and Thor was force to kill her to save the rest of the Asgardian. And again in infinity war, he was the last surviving avengers that could potentially bring down thanos but like what Thanos said, he forgotten to gone for the head and see thanos snap the finger Infront of him and wipe out half of the world population. In a way he feels that it is his fault. So when I saw him in this state. I would say both happy and sad for him as he is now free of such troubled mind but at the sametime it is so sad to see the once mighty Thor that have so much passion to save the world and to fight for justice have lost that passion and now hiding within 4 walls of a cottage and live on for the rest of the life munching on snacks and beers and playing games.",Dinozai_gaming
93,please take your hand off me..shit that for some reason felt FREAKING intimidating,Singing Potato
94,You look like melted ice cream,Hayley Yeager
95,Bro you literally cut out the best part,J.J. Judge
96,Just realized the god of thunder exclaiming &quot;Oh my God&quot; in this movie.,farrens_ak
97,"<a href=""https://www.youtube.com/watch?v=Pzp_iSUExes&amp;t=0m44s"">0:44</a> 😂🤣",ItsRafBravo
98,Fun Fact: Chris Hemsworth Is wearing a fat suit!,Drew Wallace
99,"Might be unpopular opinion but Endgame Thor is my favorite portrayal of this character, and a well written part of his entire arc.",X Y
